 Tipo Entidad ; Cód. Entidad ; Entidad ; Cód. Provincia ; Provincia ; Cód. Municipio ; Municipio ; Nº de oficinas ;OPERACIONES;RETIRADA EFECTIVO;INCIDENCIAS ST;DIAS INACTIVIDAD
COOPERATIVAS DE CREDITO;3017;CAJA R. DE SORIA, S.C.C.;28;Madrid;006;ALCOBENDAS ;1;369;33210;2;0
BANCOS;2103;UNICAJA BANCO, S.A.;39;Cantabria;026;CORVERA DE TORANZO ;1;669;60220;0;0
CAJAS DE AHORRO;2056;COLONYA-CAIXA D'ESTALVIS POLLENSA;07;Islas Baleares;003;ALCUDIA ;1;351;31570;0;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;005;ALCAZAR DE SAN JUAN ;2;1.051;94600;0;0
BANCOS;0081;BANCO DE SABADELL, S.A.;13;Ciudad Real;005;ALCAZAR DE SAN JUAN ;1;474;42640;0;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;13;Ciudad Real;005;ALCAZAR DE SAN JUAN ;1;525;47230;1;2
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;45;Toledo;006;ALCAUDETE DE LA JARA ;1;501;45110;1;3
BANCOS;0081;BANCO DE SABADELL, S.A.;25;Lleida;011;ALCARRÀS ;1;504;45320;3;0
BANCOS;2085;IBERCAJA BANCO, S.A.;44;Teruel;013;ALCAÑIZ ;1;577;51920;4;12
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;46;Valencia;016;ALCÀNTERA DE XUQUER ;1;306;27510;2;0
COOPERATIVAS DE CREDITO;3005;CAJA R. CENTRAL, S.C.C.;30;Murcia;005;ALCANTARILLA ;1;613;55210;4;8
BANCOS;2103;UNICAJA BANCO, S.A.;10;Cáceres;008;ALCANTARA ;1;614;55280;5;15
COOPERATIVAS DE CREDITO;3001;CAJA R. DE ALMENDRALEJO, S.C.C.;10;Cáceres;008;ALCANTARA ;1;670;60310;2;6
COOPERATIVAS DE CREDITO;3187;CAJA R. DEL SUR, S. COOP. CREDITO;41;Sevilla;005;ALCALA DEL RIO ;1;367;33050;4;8
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;12;Castellón;004;ALCALÀ DE XIVERT ;1;415;37350;2;0
BANCOS;2103;UNICAJA BANCO, S.A.;28;Madrid;005;ALCALA DE HENARES ;1;507;45610;5;10
BANCOS;0081;BANCO DE SABADELL, S.A.;28;Madrid;005;ALCALA DE HENARES ;1;508;45680;1;3
BANCOS;0049;BANCO SANTANDER, S.A.;28;Madrid;005;ALCALA DE HENARES ;1;287;25800;5;15
COOPERATIVAS DE CREDITO;3035;CAJA LABORAL POPULAR COOP. CREDITO;28;Madrid;005;ALCALA DE HENARES ;1;657;59120;5;10
BANCOS;2100;CAIXABANK, S.A.;28;Madrid;005;ALCALA DE HENARES ;1;463;41670;1;1
COOPERATIVAS DE CREDITO;3191;CAJA RURAL DE ARAGON S.C.C.;22;Huesca;014;ALCALA DE GURREA ;1;391;35190;2;2
BANCOS;0081;BANCO DE SABADELL, S.A.;41;Sevilla;004;ALCALA DE GUADAIRA ;1;593;53370;3;0
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;41;Sevilla;004;ALCALA DE GUADAIRA ;1;425;38210;2;4
COOPERATIVAS DE CREDITO;3076;CAJASIETE, CAJA RURAL, S.C.C.;38;Sta Cruz de Tenerife;019;GUIA DE ISORA ;1;590;53110;0;0
BANCOS;2095;KUTXABANK, S.A;28;Madrid;005;ALCALA DE HENARES ;1;418;37630;4;4
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;02;Albacete;006;ALCADOZO ;1;691;62140;2;0
BANCOS;2100;CAIXABANK, S.A.;18;Granada;005;ALBUÑAN ;1;595;53590;1;2
BANCOS;0081;BANCO DE SABADELL, S.A.;46;Valencia;013;ALBORAIA/ALBORAYA ;1;518;46610;5;10
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;46;Valencia;013;ALBORAIA/ALBORAYA ;1;620;55760;4;8
COOPERATIVAS DE CREDITO;3159;CAIXA POPULAR-CAIXA RURAL, S.C.C.V.;46;Valencia;013;ALBORAIA/ALBORAYA ;1;562;50560;3;6
BANCOS;2100;CAIXABANK, S.A.;18;Granada;004;ALBONDON ;1;703;63270;4;0
COOPERATIVAS DE CREDITO;3023;CAJA R. DE GRANADA, S.C.C.;18;Granada;003;ALBOLOTE ;1;316;28410;5;5
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;12;Castellón;003;ALBOCÀSSER ;1;530;47740;1;3
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;46;Valencia;011;ALBERIC ;1;707;63630;4;12
BANCOS;0049;BANCO SANTANDER, S.A.;46;Valencia;011;ALBERIC ;1;404;36340;1;3
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;45;Toledo;028;CALERA Y CHOZAS ;1;548;49290;0;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;03;Alicante;005;ALBATERA ;1;334;30020;3;6
BANCOS;2085;IBERCAJA BANCO, S.A.;25;Lleida;007;ALBATÀRRECH ;1;285;25660;0;0
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;04;Almería;004;ALBANCHEZ ;1;652;58710;1;1
COOPERATIVAS DE CREDITO;3191;CAJA RURAL DE ARAGON S.C.C.;22;Huesca;007;ALBALATE DE CINCA ;1;648;58350;5;10
COOPERATIVAS DE CREDITO;3080;CAJA R. DE TERUEL, S.C.C.;44;Teruel;008;ALBALATE DEL ARZOBISPO ;1;451;40590;4;12
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;16;Cuenca;004;ALBALADEJO DEL CUENDE ;1;693;62380;3;0
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;004;ALBALADEJO ;1;714;64220;0;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;02;Albacete;003;ALBACETE ;4;2.205;198430;16;11
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;02;Albacete;003;ALBACETE ;4;1.977;177920;8;4
BANCOS;2100;CAIXABANK, S.A.;02;Albacete;003;ALBACETE ;2;691;62210;6;12
BANCOS;0049;BANCO SANTANDER, S.A.;02;Albacete;003;ALBACETE ;1;483;43510;5;10
BANCOS;0083;RENTA 4 BANCO, S.A.;02;Albacete;003;ALBACETE ;1;696;62650;2;6
SUCURSALES COMUNITARIAS;1491;TRIODOS BANK, N.V., S.E.;02;Albacete;003;ALBACETE ;1;596;53610;1;2
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;02;Albacete;002;ALATOZ ;1;635;57160;0;0
COOPERATIVAS DE CREDITO;3016;CAJA R. DE SALAMANCA, S.C.C.;47;Valladolid;004;ALAEJOS ;1;377;33920;1;1
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;45;Toledo;001;AJOFRIN ;1;696;62680;4;12
BANCOS;2085;IBERCAJA BANCO, S.A.;22;Huesca;907;AINSA-SOBRARBE ;1;667;60070;0;0
BANCOS;2100;CAIXABANK, S.A.;22;Huesca;907;AINSA-SOBRARBE ;1;290;26110;0;0
COOPERATIVAS DE CREDITO;3191;CAJA RURAL DE ARAGON S.C.C.;22;Huesca;907;AINSA-SOBRARBE ;1;572;51460;4;0
BANCOS;0078;BANCA PUEYO, S.A.;06;Badajoz;003;AHILLONES ;1;528;47470;3;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;15;A Coruña;073;RIBEIRA ;1;471;42410;1;1
BANCOS;0049;BANCO SANTANDER, S.A.;35;Las Palmas;002;AGÜIMES ;1;382;34420;2;4
BANCOS;0081;BANCO DE SABADELL, S.A.;30;Murcia;003;AGUILAS ;1;626;56290;2;0
BANCOS;0049;BANCO SANTANDER, S.A.;14;Córdoba;002;AGUILAR DE LA FRONTERA ;1;539;48500;0;0
COOPERATIVAS DE CREDITO;3060;C.R.BURGOS,FUENT.,SEGOV.Y CASTEL.SC;34;Palencia;004;AGUILAR DE CAMPOO ;1;718;64640;5;5
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;34;Palencia;004;AGUILAR DE CAMPOO ;1;443;39840;1;1
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;002;AGUDO ;1;668;60130;3;3
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;13;Ciudad Real;002;AGUDO ;1;617;55540;4;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;02;Albacete;003;ALBACETE ;1;427;38390;4;8
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;15;A Coruña;029;CORISTANCO ;1;453;40740;5;0
BANCOS;0049;BANCO SANTANDER, S.A.;04;Almería;079;ROQUETAS DE MAR ;1;588;52930;2;0
BANCOS;2100;CAIXABANK, S.A.;04;Almería;079;ROQUETAS DE MAR ;1;408;36730;0;0
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;04;Almería;079;ROQUETAS DE MAR ;1;713;64180;0;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;020;AGOLADA ;1;697;62700;3;0
COOPERATIVAS DE CREDITO;3115;"CAJA R.""NUESTRA MADRE DEL SOL"",SCAC";14;Córdoba;001;ADAMUZ ;1;715;64340;5;5
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;13;Ciudad Real;001;ABENOJAR ;1;332;29900;4;0
COOPERATIVAS DE CREDITO;3081;EUROCAJA RURAL, S.C.C.;02;Albacete;001;ABENGIBRE ;1;630;56720;2;6
BANCOS;2095;KUTXABANK, S.A;48;Vizcaya;002;ABANTO Y CIERVANA-ABANTO ZIERBENA ;1;500;44980;2;0
BANCOS;2095;KUTXABANK, S.A;48;Vizcaya;001;ABADIÑO ;2;1.115;100300;4;0
BANCOS;0049;BANCO SANTANDER, S.A.;48;Vizcaya;001;ABADIÑO ;1;651;58580;3;6
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;32;Ourense;008;BARBADAS ;1;585;52640;0;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;15;A Coruña;024;CERCEDA ;1;692;62290;2;2
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;32;Ourense;072;RUA (A) ;1;488;43890;1;3
BANCOS;2100;CAIXABANK, S.A.;36;Pontevedra;035;NIGRAN ;1;327;29430;4;8
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;035;NIGRAN ;1;686;61740;1;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;27;Lugo;026;LANCARA ;1;584;52540;5;10
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;15;A Coruña;045;MAZARICOS ;1;577;51920;2;6
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;32;Ourense;059;PEROXA (A) ;1;398;35840;5;5
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;32;Ourense;048;MEZQUITA (A) ;1;571;51390;5;10
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;32;Ourense;047;MERCA (A) ;1;473;42600;1;3
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;025;LAMA (A) ;1;717;64500;5;15
BANCOS;0049;BANCO SANTANDER, S.A.;36;Pontevedra;023;GUARDA (A) ;1;322;28960;1;1
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;023;GUARDA (A) ;1;450;40490;2;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;017;ESTRADA (A) ;1;565;50820;4;4
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;32;Ourense;058;PEREIRO DE AGUIAR (O) ;1;483;43430;0;0
BANCOS;0049;BANCO SANTANDER, S.A.;15;A Coruña;030;CORUÑA (A) ;12;6.900;620980;14;20
BANCOS;2103;UNICAJA BANCO, S.A.;15;A Coruña;030;CORUÑA (A) ;1;690;62070;5;15
BANCOS;0081;BANCO DE SABADELL, S.A.;15;A Coruña;030;CORUÑA (A) ;5;2.388;214910;10;10
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;15;A Coruña;030;CORUÑA (A) ;1;363;32680;2;2
BANCOS;0081;BANCO DE SABADELL, S.A.;15;A Coruña;030;CORUÑA (A) ;1;377;33890;1;1
BANCOS;0234;CBNK BANCO DE COLECTIVOS, S.A.;15;A Coruña;030;CORUÑA (A) ;1;555;49970;2;0
BANCOS;1490;SINGULAR BANK, S.A.;15;A Coruña;030;CORUÑA (A) ;1;498;44820;0;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;36;Pontevedra;009;CAÑIZA (A) ;1;557;50160;0;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;27;Lugo;009;CARBALLEDO ;1;604;54330;5;5
BANCOS;2100;CAIXABANK, S.A.;28;Madrid;079;MADRID ;222;68.586;6172710;185;185
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;08;Barcelona;019;BARCELONA ;68;31.851;2866600;45;80
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;019;BARCELONA ;147;89.278;8035020;95;92
BANCOS;0049;BANCO SANTANDER, S.A.;28;Madrid;079;MADRID ;209;96.012;8641100;142;112
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;121;MATARO ;8;2.993;269370;13;15
BANCOS;2100;CAIXABANK, S.A.;45;Toledo;165;TALAVERA DE LA REINA ;6;3.311;297960;1;3
BANCOS;0081;BANCO DE SABADELL, S.A.;08;Barcelona;019;BARCELONA ;70;48.088;4327890;24;40
COOPERATIVAS DE CREDITO;3059;CAJA R. DE ASTURIAS, S.C.C.;33;Asturias;044;OVIEDO ;24;8.327;749470;11;10
BANCOS;2100;CAIXABANK, S.A.;41;Sevilla;091;SEVILLA ;56;25.372;2283510;23;32
BANCOS;2100;CAIXABANK, S.A.;30;Murcia;030;MURCIA ;20;6.862;617620;23;15
BANCOS;0081;BANCO DE SABADELL, S.A.;03;Alicante;133;TORREVIEJA ;7;3.386;304760;3;4
BANCOS;0081;BANCO DE SABADELL, S.A.;48;Vizcaya;020;BILBAO ;10;3.576;321820;20;26
BANCOS;0128;BANKINTER, S.A.;46;Valencia;250;VALÈNCIA ;10;6.647;598190;20;11
BANCOS;0237;CAJASUR BANCO, S.A.;14;Córdoba;021;CORDOBA ;25;7.103;639250;12;6
COOPERATIVAS DE CREDITO;3017;CAJA R. DE SORIA, S.C.C.;42;Soria;173;SORIA ;10;5.236;471280;7;7
COOPERATIVAS DE CREDITO;3076;CAJASIETE, CAJA RURAL, S.C.C.;38;Sta Cruz de Tenerife;006;ARONA ;4;1.708;153700;1;4
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;04;Almería;079;ROQUETAS DE MAR ;6;3.250;292470;3;4
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;101;HOSPITALET DE LLOBREGAT(L') ;17;5.501;495120;17;11
BANCOS;0049;BANCO SANTANDER, S.A.;36;Pontevedra;057;VIGO ;16;7.143;642910;13;20
BANCOS;0128;BANKINTER, S.A.;47;Valladolid;186;VALLADOLID ;4;1.421;127910;1;0
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;08;Barcelona;124;MOLLET DEL VALLÈS ;4;1.373;123600;7;10
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;43;Tarragona;123;REUS ;4;1.340;120580;8;10
BANCOS;0237;CAJASUR BANCO, S.A.;23;Jaén;050;JAEN ;4;2.509;225760;1;1
BANCOS;2100;CAIXABANK, S.A.;32;Ourense;054;OURENSE ;6;3.092;278290;17;20
BANCOS;2103;UNICAJA BANCO, S.A.;04;Almería;079;ROQUETAS DE MAR ;6;2.418;217570;2;5
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;18;Granada;087;GRANADA ;4;2.686;241720;4;7
COOPERATIVAS DE CREDITO;3187;CAJA R. DEL SUR, S. COOP. CREDITO;11;Cádiz;015;CHICLANA DE LA FRONTERA ;4;2.724;245160;4;7
BANCOS;0081;BANCO DE SABADELL, S.A.;26;La Rioja;089;LOGROÑO ;3;1.457;131110;1;3
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;12;Castellón;040;CASTELLO DE LA PLANA ;5;2.502;225170;2;0
BANCOS;2080;ABANCA CORPORACION BANCARIA, S.A.;41;Sevilla;091;SEVILLA ;3;1.790;161130;8;10
BANCOS;2085;IBERCAJA BANCO, S.A.;28;Madrid;106;PARLA ;3;1.065;95820;0;0
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;113;MANRESA ;5;2.555;229940;0;0
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;266;CERDANYOLA DEL VALLÈS ;3;2.001;180090;1;0
BANCOS;2095;KUTXABANK, S.A;48;Vizcaya;020;BILBAO ;27;13.074;1176630;15;20
BANCOS;2100;CAIXABANK, S.A.;34;Palencia;120;PALENCIA ;3;1.020;91780;3;3
BANCOS;2100;CAIXABANK, S.A.;35;Las Palmas;002;AGÜIMES ;3;1.426;128310;1;7
BANCOS;2100;CAIXABANK, S.A.;35;Las Palmas;024;TEGUISE ;3;1.386;124700;7;12
BANCOS;2103;UNICAJA BANCO, S.A.;24;León;115;PONFERRADA ;3;2.117;190500;0;0
BANCOS;0081;BANCO DE SABADELL, S.A.;28;Madrid;079;MADRID ;46;24.157;2174140;15;19
BANCOS;2103;UNICAJA BANCO, S.A.;29;Málaga;084;RONDA ;5;2.034;183070;7;12
COOPERATIVAS DE CREDITO;3005;CAJA R. CENTRAL, S.C.C.;03;Alicante;099;ORIHUELA ;15;9.159;824290;15;23
COOPERATIVAS DE CREDITO;3008;CAJA R. DE NAVARRA, S.C.C.;31;Navarra;901;BARAÑAIN/BARAÑAIN ;3;1.406;126530;1;7
COOPERATIVAS DE CREDITO;3029;CAJA DE CREDITO DE PETREL,C.R.,CCV;03;Alicante;104;PETRER ;3;1.048;94310;2;1
SUCURSALES COMUNITARIAS;1465;ING BANK, N.V. S.E.;28;Madrid;079;MADRID ;5;3.058;275230;4;7
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;18;Granada;087;GRANADA ;11;4.056;365070;22;21
BANCOS;2095;KUTXABANK, S.A;01;Alava;059;VITORIA-GASTEIZ ;22;13.299;1196950;18;14
BANCOS;2100;CAIXABANK, S.A.;11;Cádiz;020;JEREZ DE LA FRONTERA ;11;7.803;702240;10;7
BANCOS;0049;BANCO SANTANDER, S.A.;06;Badajoz;015;BADAJOZ ;10;6.293;566410;4;8
BANCOS;0049;BANCO SANTANDER, S.A.;29;Málaga;067;MALAGA ;24;15.379;1384080;21;27
BANCOS;0049;BANCO SANTANDER, S.A.;29;Málaga;069;MARBELLA ;7;2.993;269340;4;8
BANCOS;0049;BANCO SANTANDER, S.A.;32;Ourense;054;OURENSE ;7;4.917;442500;2;9
BANCOS;2100;CAIXABANK, S.A.;35;Las Palmas;016;PALMAS DE GRAN CANARIA (LAS) ;28;19.164;1724710;14;28
BANCOS;2103;UNICAJA BANCO, S.A.;04;Almería;902;EJIDO (EL) ;7;4.045;364080;10;18
BANCOS;2103;UNICAJA BANCO, S.A.;11;Cádiz;004;ALGECIRAS ;7;4.796;431620;14;29
BANCOS;2103;UNICAJA BANCO, S.A.;29;Málaga;069;MARBELLA ;7;2.352;211670;12;10
BANCOS;2100;CAIXABANK, S.A.;07;Islas Baleares;040;PALMA ;52;32.715;2944340;21;29
BANCOS;0049;BANCO SANTANDER, S.A.;41;Sevilla;038;DOS HERMANAS ;4;1.489;134020;20;40
BANCOS;0061;BANCA MARCH, S.A.;28;Madrid;079;MADRID ;10;2.890;260060;20;40
BANCOS;2100;CAIXABANK, S.A.;35;Las Palmas;026;TELDE ;5;3.471;312360;7;7
BANCOS;2100;CAIXABANK, S.A.;38;Sta Cruz de Tenerife;031;REALEJOS (LOS) ;4;2.170;195260;4;12
BANCOS;2103;UNICAJA BANCO, S.A.;10;Cáceres;148;PLASENCIA ;5;2.289;206030;2;0
COOPERATIVAS DE CREDITO;3001;CAJA R. DE ALMENDRALEJO, S.C.C.;06;Badajoz;015;BADAJOZ ;4;1.787;160810;0;0
BANCOS;2095;KUTXABANK, S.A;20;Guipúzcoa;069;DONOSTIA/SAN SEBASTIAN ;16;6.057;545130;13;39
BANCOS;2100;CAIXABANK, S.A.;50;Zaragoza;297;ZARAGOZA ;25;17.452;1570650;19;38
BANCOS;0019;DEUTSCHE BANK, S.A.E.;28;Madrid;079;MADRID ;6;3.182;286340;12;36
BANCOS;0049;BANCO SANTANDER, S.A.;33;Asturias;066;SIERO ;3;1.997;179740;2;1
BANCOS;0081;BANCO DE SABADELL, S.A.;11;Cádiz;020;JEREZ DE LA FRONTERA ;3;1.505;135450;8;6
BANCOS;0128;BANKINTER, S.A.;48;Vizcaya;020;BILBAO ;4;2.856;257000;4;0
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;03;Alicante;031;BENIDORM ;4;2.144;192950;9;12
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;08;Barcelona;015;BADALONA ;6;3.872;348440;12;20
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;09;Burgos;059;BURGOS ;6;3.019;271690;18;21
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;15;A Coruña;036;FERROL ;3;1.286;115740;12;16
BANCOS;0049;BANCO SANTANDER, S.A.;39;Cantabria;075;SANTANDER ;15;4.347;391210;12;19
BANCOS;2100;CAIXABANK, S.A.;23;Jaén;050;JAEN ;6;4.311;387980;2;0
BANCOS;2100;CAIXABANK, S.A.;29;Málaga;054;FUENGIROLA ;3;1.253;112760;3;3
BANCOS;2100;CAIXABANK, S.A.;41;Sevilla;038;DOS HERMANAS ;6;2.020;181760;11;14
BANCOS;0081;BANCO DE SABADELL, S.A.;30;Murcia;030;MURCIA ;25;11.722;1055000;12;36
BANCOS;2103;UNICAJA BANCO, S.A.;16;Cuenca;078;CUENCA ;3;1.767;158980;1;0
BANCOS;2103;UNICAJA BANCO, S.A.;18;Granada;087;GRANADA ;6;4.106;369570;1;6
COOPERATIVAS DE CREDITO;3058;CAJAMAR CAJA RURAL, S.C.C.;35;Las Palmas;016;PALMAS DE GRAN CANARIA (LAS) ;6;3.159;284330;12;21
COOPERATIVAS DE CREDITO;3187;CAJA R. DEL SUR, S. COOP. CREDITO;21;Huelva;041;HUELVA ;6;2.309;207820;12;15
COOPERATIVAS DE CREDITO;3187;CAJA R. DEL SUR, S. COOP. CREDITO;41;Sevilla;038;DOS HERMANAS ;4;1.917;172540;12;10
COOPERATIVAS DE CREDITO;3190;C.R. ALBACETE, C. REAL Y CUENCA,SCC;13;Ciudad Real;071;PUERTOLLANO ;3;1.269;114180;12;16
BANCOS;0049;BANCO SANTANDER, S.A.;41;Sevilla;091;SEVILLA ;41;18.305;1647460;17;34
BANCOS;2085;IBERCAJA BANCO, S.A.;19;Guadalajara;130;GUADALAJARA ;10;3.281;295330;11;20
COOPERATIVAS DE CREDITO;3035;CAJA LABORAL POPULAR COOP. CREDITO;48;Vizcaya;020;BILBAO ;21;11.924;1073160;11;30
COOPERATIVAS DE CREDITO;3060;C.R.BURGOS,FUENT.,SEGOV.Y CASTEL.SC;09;Burgos;059;BURGOS ;11;5.810;522920;11;21
COOPERATIVAS DE CREDITO;3187;CAJA R. DEL SUR, S. COOP. CREDITO;14;Córdoba;021;CORDOBA ;11;5.383;484470;11;24
BANCOS;0049;BANCO SANTANDER, S.A.;25;Lleida;120;LLEIDA ;8;4.266;383930;16;12
BANCOS;2100;CAIXABANK, S.A.;46;Valencia;131;GANDIA ;4;2.174;195700;16;32
BANCOS;2100;CAIXABANK, S.A.;48;Vizcaya;015;BASAURI ;4;1.322;118960;16;12
BANCOS;2103;UNICAJA BANCO, S.A.;28;Madrid;079;MADRID ;36;20.429;1838620;16;32
BANCOS;2085;IBERCAJA BANCO, S.A.;28;Madrid;079;MADRID ;59;20.797;1871710;26;32
BANCOS;0049;BANCO SANTANDER, S.A.;18;Granada;087;GRANADA ;11;5.718;514620;10;30
BANCOS;0049;BANCO SANTANDER, S.A.;29;Málaga;070;MIJAS ;2;1.387;124830;10;12
BANCOS;0049;BANCO SANTANDER, S.A.;35;Las Palmas;026;TELDE ;2;861;77450;10;7
BANCOS;0081;BANCO DE SABADELL, S.A.;29;Málaga;901;TORREMOLINOS ;3;1.671;150420;15;11
BANCOS;0128;BANKINTER, S.A.;15;A Coruña;030;CORUÑA (A) ;3;1.156;104060;15;14
BANCOS;0128;BANKINTER, S.A.;41;Sevilla;038;DOS HERMANAS ;2;742;66760;10;12
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;07;Islas Baleares;026;EIVISSA ;2;1.421;127920;10;10
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;08;Barcelona;077;ESPLUGUES DE LLOBREGAT ;2;1.249;112390;10;19
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;11;Cádiz;012;CADIZ ;5;3.454;310880;10;8
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;11;Cádiz;030;ROTA ;2;1.268;114110;10;7
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;15;A Coruña;030;CORUÑA (A) ;13;6.972;627470;15;12
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;28;Madrid;113;PINTO ;2;731;65750;10;10
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;29;Málaga;054;FUENGIROLA ;3;1.901;171050;15;11
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;38;Sta Cruz de Tenerife;017;GRANADILLA DE ABONA ;3;889;80020;15;19
BANCOS;0182;BANCO BILBAO VIZCAYA ARGENTARIA, SA;41;Sevilla;004;ALCALA DE GUADAIRA ;2;740;66570;10;8
BANCOS;2085;IBERCAJA BANCO, S.A.;28;Madrid;007;ALCORCON ;2;970;87290;10;2
BANCOS;2095;KUTXABANK, S.A;48;Vizcaya;078;PORTUGALETE ;5;3.300;296980;10;8
COOPERATIVAS DE CREDITO;3023;CAJA R. DE GRANADA, S.C.C.;18;Granada;087;GRANADA ;19;8.128;731480;10;30
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;159;PARETS DEL VALLÈS ;2;1.059;95350;10;11
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;211;SANT FELIU DE LLOBREGAT ;5;1.962;176540;10;7
BANCOS;2100;CAIXABANK, S.A.;08;Barcelona;231;SANT PERE DE RIBES ;2;1.147;103220;10;5
BANCOS;2100;CAIXABANK, S.A.;17;Girona;114;OLOT ;2;679;61120;10;4
BANCOS;2100;CAIXABANK, S.A.;18;Granada;021;ARMILLA ;2;1.052;94640;10;1
BANCOS;2100;CAIXABANK, S.A.;29;Málaga;070;MIJAS ;5;1.481;133330;15;8
BANCOS;2100;CAIXABANK, S.A.;29;Málaga;094;VELEZ-MALAGA ;2;1.403;126240;10;12
